xid,Project name,Review
R402429,Mathapathi Grand Field,"Very good apartments ventilation excellent, with interior super quality very attractive totally super awesome apartments"
R402429,Mathapathi Grand Field,This project is best for Quality construction and largest carpet area 2&3 BHK in gunjur Limited amenities which helps less maintenance.
R402429,Mathapathi Grand Field,"Mathapathi Grandfield is best residential project.
Best location, nice connectivity from project, best investment."
R402429,Mathapathi Grand Field,"Mathapathi Grand field is best residential project in gunjur. it provide fully furnished homes with quality interior with thoughtfull designed. I would suggest to buy homes who work closely Kodathi IT parks, Sarjapur road, Varthur."
R402429,Mathapathi Grand Field,Property looks like some Govt quarters. Materials used are good but very poor designs. I see lot of unnecessary stuffs. Furniture which he providing are good but won’t make sense because people who have 1CR budget they hire interior designers. He proudly say that everything is done by builder itself and I say because of that only everything is ruined i mean who provides same tiles on floor and kitchen. It’s a very basic apartment with very basic amenities not at all justifiable to price they are quoting.
R402429,Mathapathi Grand Field,Mathapathi Constructions combines modern architecture with traditional touches beautifully.
R402429,Mathapathi Grand Field,Mathapathi Grand Field’s apartments come with high-quality branded interiors
R402429,Mathapathi Grand Field,"If you love staying active, Mathapathi Grand Field is perfect. The gym is well-equipped, and there are plenty of indoor games in the property."
R402429,Mathapathi Grand Field,"As someone working in the IT sector, the location of Mathapathi Grand Field is perfect. It is well-connected to Whitefield and Sarjapur, saving me time on daily commutes."
R402429,Mathapathi Grand Field,"The apartments here are spacious, with a great layout. Love how they have utilized the space efficiently. It does not feel cramped at all!"
R402429,Mathapathi Grand Field,"The entire project is well-planned, from the layout to the location. Like how everything is designed for comfort and convenience."
R402429,Mathapathi Grand Field,Could not be happier with my investment in Mathapathi Grand Field.It is a project that offers not just a home but a great lifestyle.
R402429,Mathapathi Grand Field,"Considering the quality and the location, Mathapathi Grand Field offers great value for money. I am really happy with my purchase."
R402429,Mathapathi Grand Field,"The materials used in the construction are top-notch. The walls, flooring and fittings all feel high-quality, and I am very satisfied with the finish."
R402429,Mathapathi Grand Field,"The apartments at Mathapathi Grand Field come with high-quality branded interiors, making them feel luxurious and ready to move into without the need for additional furnishing."
R402429,Mathapathi Grand Field,"One of the standout perks of living at Mathapathi Grand Field is the free Gunjur Club life membership, which offers excellent facilities nearby"
R402429,Mathapathi Grand Field,Having good schools and shopping malls nearby has been super convenient. Everything I need is just a short drive away.
R402429,Mathapathi Grand Field,"The materials used in the construction are top-notch. The walls, flooring and fittings all feel high-quality, and I am very satisfied with the finish."
R402429,Mathapathi Grand Field,Having good schools and shopping malls nearby has been super convenient. Everything I need is just a short drive away.
R402429,Mathapathi Grand Field,Really impressed with the quality of construction. The materials used and the finishing touches make it feel premium. Mathapathi has done a great job!
R402429,Mathapathi Grand Field,The peaceful atmosphere at Mathapathi Grand Field is a welcome change from the busy city.
R402429,Mathapathi Grand Field,"The project is well-located, with schools, supermarkets, and hospitals all within easy reach. It is very convenient for daily life."
R402429,Mathapathi Grand Field,I was particularly impressed by the high-quality branded interiors provided in the apartments. It is reassuring to know that every part of my home is crafted with reliable and stylish materials.
R402429,Mathapathi Grand Field,"The balconies are quite spacious, and the view of the greenery is just amazing. It is one of my favourite features of the apartment."
R402429,Mathapathi Grand Field,"I chose Mathapathi Grand Field because of the developer’s good reputation, and they did not disappoint. The entire process has been smooth, and the quality is as promised."
R402429,Mathapathi Grand Field,"The locality is completely safe, which was one of my top priorities when looking for a new home."
R402429,Mathapathi Grand Field,Mathapathi Grand Field is everything I was looking for a calm and serene location but still close enough to the city. It is a perfect retreat from the hustle and bustle of Bangalore.
R402429,Mathapathi Grand Field,The staff at Mathapathi Constructions have been extremely helpful throughout the buying process. They made everything so smooth and transparent.
R402429,Mathapathi Grand Field,One of the highlights of choosing Mathapathi Grand Field was the well-furnished apartments featuring high-quality branded interiors.
R402429,Mathapathi Grand Field,"We're eager to see Mathapathi Grand Field come to life! The designs are impressive, and we can't wait to make this our new home."
R402429,Mathapathi Grand Field,The progress so far indicates it will be a top-tier residential area of Gunjur.
R402429,Mathapathi Grand Field,All The planned amenities and design are superb!
R402429,Mathapathi Grand Field,The future of Mathapathi Grand Field looks bright. The project is progressing well and is set to offer a luxurious lifestyle.
R402429,Mathapathi Grand Field,The construction quality at Mathapathi Grand Field is top-notch. Looking forward to becoming a resident soon.
R402429,Mathapathi Grand Field,I highly recommend Mathapathi Grand Field for anyone looking for a luxurious and comfortable living space in Bangalore.
R402429,Mathapathi Grand Field,"Visited Mathapathi Grand Field’s construction site and was very impressed. The layout of the apartments are practical and well thought out, providing maximum comfort. This project is going to set new standards in Gunjur."
R402429,Mathapathi Grand Field,The construction at Mathapathi Grand Field is on schedule and looking great. This project in Gunjur is going to be amazing.
R402429,Mathapathi Grand Field,"The location of Mathapathi Grand Field is very convenient, with easy access to schools, shopping centers, and hospitals."
R402429,Mathapathi Grand Field,I visited the Mathapathi Grand Field site and was impressed by the professionalism and quality of the work being done.
R402429,Mathapathi Grand Field,The detailed planning and quality construction of Mathapathi Grand Field give me confidence in my investment.
R402429,Mathapathi Grand Field,The attention to detail in Mathapathi Grand Field’s construction is impressive.
R402429,Mathapathi Grand Field,The site visit to Mathapathi Grand Field was very reassuring. The project is progressing well and promises luxury and comfort
R402429,Mathapathi Grand Field,Mathapathi Grand Field is shaping up to be an outstanding residential project. The amenities planned are fantastic
R402429,Mathapathi Grand Field,The design and architecture of Mathapathi Grand Field are impressive.
R402429,Mathapathi Grand Field,Visited the Mathapathi Grand Field site recently and was blown away by the progress and the planned features.
R402429,Mathapathi Grand Field,The construction team at Mathapathi Grand Field is doing a remarkable job. This project promises to be a landmark in Bangalore.
R402429,Mathapathi Grand Field,Thrilled about the upcoming Mathapathi Grand Field. The planned facilities and design are exactly what I’ve been looking for.
R402429,Mathapathi Grand Field,Visited the site of Mathapathi Grand Field and was impressed by the quality and design. It is going to be a fantastic place to live! ??
R402429,Mathapathi Grand Field,Mathapathi Grand Field is on track to becoming a top residential community. The vision for this project is truly inspiring.
R402429,Mathapathi Grand Field,"Excited to see Mathapathi Grand Field taking shape! The plans look amazing, and I can't wait to move in."
R402429,Mathapathi Grand Field,What ever builder given in specification and amenities more than that he full filled. Even for wall to wall built-up area super built up area MENSIONED is brochure is as per actuals and practical correct
R402429,Mathapathi Grand Field,"Owner failed to clarify why he’s charging for more area than the actual area of apartment as shown in their brochure.
Misleading guy, please Check and calculated the built up/carpet area as provided in their brochure floor plan and confirm the area they’re charging for?"
R402429,Mathapathi Grand Field,"Totally furnished flat they are providing. Construction quality seeming good. Builder himself saleing flat directly, no mediator, location wise good."
R402429,Mathapathi Grand Field,Can’t compare to the quality of construction and attention to detail at Mathapathi Grand Field project.
R395606,Maple Sky Residences at Navins Starwood,"Seems like Navin’s is a new builder with lots of trials and errors, no proper lift service after handover also , all 21 floors floods when it rains, not given standard car parking size, water treatment not done properly, we can see dirty water in bathroom as well as in kitchen. Ferocious street dogs roaming inside the building near my door, this under construction building serves you paint art on your cars left inside the building by sprinkling the paint art and cement dust all over your car. They will surprise us everyday with new headache rules which disturbs our daily life, Welcome to stressful world by spending your hard earned money."
R395606,Maple Sky Residences at Navins Starwood,Honest review price to amenities review will give it a 3.5 on 5 or in more accurate terms a 6.8 on 10. Most features are good but suffer a little in some form or the other. Parking to mail box to entry road to location are mediocre at best. Yes but away from all the pollution and noise. A beautiful place to be. 
R395606,Maple Sky Residences at Navins Starwood,It's absolutely quality construction. Good experience from beginning to till now the transaction.
R395606,Maple Sky Residences at Navins Starwood,It was an excellent experience with Navins. I got a good feedback from my cousin brothers on this appartment and hence I am booking one more for my self.It is a value for money property. I am happy with the decision made for this purchase.Today I am a happy flat owner. My overall experience with Navins is really Excellent!!!! ....I will recommend anyone who wish to purchase a property with Navins.!!!
R395606,Maple Sky Residences at Navins Starwood,"Navins Pinewood Tower in Medavakkam Excellent construction and amazing infrastructure. Club house, swimming pool, gym, kids play zone, theatre and other amenities superb. I am very happy. I’m very much emotionally and sentimentally attached. Especially Priya from CRM, she did great support and guidance. Sales person and Marketing Manager they did best for us. I had great experience and loving it. I’m very much eager to start our life in Navins."
R395606,Maple Sky Residences at Navins Starwood,It was really a nice experience booking a flat at Navin's. Well received at site and provided excellent service. Explained all the key features while signing the agreement and overall much satisfied with the service. Thanks Navin's for helping me to purchase dream house!
R395606,Maple Sky Residences at Navins Starwood,"We have purchased flat at Navins star wood Medavakkam. We purchased flat at Navins after hearing the quality work they provide. We are happy with quality but we foresee multiple issues which are not being addressed. We got the house handed over a month back. Below are the issues we are facing. When we raised the concerns to the CRM team, they were not ready to acknowledge and address customer issues. We had to follow the CRM team continuously to get any response, and obviously all their responses were NO.
1) Washroom had water getting stagnant. When enquired they are bringing the concept of dry area and wet area inside the washroom. But the water is getting stagnant when we step inside the washroom, there are high chances for elders to slip. They asked us to sweep / mop washroom whenever we used, to avoid water stagnant. Also we were informed this is constructed in Singapore model ( dry/ wet) area, what ever it is water getting stagnant in washroom is not acceptable. The only final answer we have received is nothing cannot be done, this is how all flats are constructed and it cannot be corrected. This is highly disappointing.
2) Car parking is not alloted in the same size for everyone. We booked the flat at 2019 Jan, where the house was under construction and we were not able to see the size of parking. Later during handover we were given a smaller one. Also before handing over we were told by CRM team that they will work on changing the car parking but finally after final handover now they are telling they will not change."
R395606,Maple Sky Residences at Navins Starwood,"Plenty of open space and lot of security in and around this place, but no one cares where some one is going and coming. I went as guest to one of the flats in that place, I expected to be a tightened security and someone had to acknowledge if I have to be in that premise, but to my surprise, I could easily reach their doorsteps, without and security check. This place has a lot of social activity amenities, which will take half a day to tour by itself. Parking of each block are well managed."
R395606,Maple Sky Residences at Navins Starwood,"If i want to buy a home then Navins is the only word arise in my mind for my dream home. Navins means love, trust, happiness, peaceful and secured stay. Navins Projects are not planned for business however built with more sentiments and utmost care towards our dream home. This brand name stood strong in the market for 30years with lot of hard work and sacrifices from Mr. Kumar's family and their team. Am really proud to be part of Navins family."
R395606,Maple Sky Residences at Navins Starwood,"Easy to deal with Navin's, no compromise on Quality

Navin's did fantastic job, it was quick, two way communication, understanding customer needs, efficient and very professional. Primary reason for us to choose Navin's is Quality and Customer service, this was evident from day one of our interactions. I was given with every detail that I asked for, Sales and CRM team is taking effort to get that WoW factor. I came across very few builders in Chennai who care for their customer's and Navin's is one among them.

Special mention to Manoj from Sales, Ganesh and Priya from CRM. You guys are doing fantastic job."
R395606,Maple Sky Residences at Navins Starwood,Our experience with Navin's from the beginning until handing over was smooth and comfortable. The CRM team is always available for any queries. We visited the site a lot of times before handover and the maintenance and the service teams patiently cleared our doubts and provided complete support.
